report_year,agency_code,agency_jurisdiction,population,rapes,months_reported,rapes_percapita
1981,TNMPD00,"Memphis, TN",654096,760,12,116.19
1981,AZ00717,"Mesa, AZ",153941,51,12,33.13
1981,FL01300,"Miami-Dade County, FL",822971,570,12,69.26
1981,FL01306,"Miami, FL",356734,382,12,107.08
1981,WIMPD00,"Milwaukee, WI",641715,290,12,45.19
1981,MN02711,"Minneapolis, MN",372784,367,12,98.45
1981,MD01604,"Montgomery County, MD",527903,156,12,29.55
1981,TN01901,"Nashville, TN",458430,363,12,79.18
1981,NY02900,"Nassau County, NY",1054349,37,12,3.51
1981,LANPD00,"New Orleans, LA",571771,453,12,79.23
1981,NY03030,"New York City, NY",7070429,3862,12,54.62
1981,NJNPD00,"Newark, NJ",332746,598,12,179.72
1981,CA00109,"Oakland, CA",347736,430,12,123.66
1981,OK05506,"Oklahoma City, OK",414523,336,12,81.06
1981,NB02802,"Omaha, NE",322883,186,12,57.61
1981,FL04804,"Orlando, FL",135812,154,12,113.39
1981,PAPEP00,"Philadelphia, PA",1686834,936,12,55.49
1981,AZ00723,"Phoenix, AZ",794983,408,12,51.32
1981,PAPPD00,"Pittsburgh, PA",425632,213,12,50.04
1981,OR02602,"Portland, OR",369518,403,12,109.06
1981,MD01721,"Prince George's County, MD",564424,371,12,65.73
1981,NC09201,"Raleigh, NC",151155,56,12,37.05
1981,CA03404,"Sacramento, CA",281854,228,12,80.89
1981,UT01803,"Salt Lake City, UT",169383,137,12,80.88
1981,TXSPD00,"San Antonio, TX",820591,376,12,45.82
1981,CA03711,"San Diego, CA",898109,559,12,62.24
1981,CA03801,"San Francisco, CA",692092,672,12,97.1
