report_year,agency_code,agency_jurisdiction,population,assaults,months_reported,assaults_percapita
1977,CA04313,"San Jose, CA",568303,1276,12,224.53
1977,WASPD00,"Seattle, WA",500000,1987,12,397.4
1977,MOSPD00,"St. Louis, MO",512059,4115,12,803.62
1977,NY05101,"Suffolk County, NY",1140882,861,12,75.47
1977,FL02902,"Tampa, FL",264848,1906,12,719.66
1977,AZ01003,"Tucson, AZ",306500,877,12,286.13
1977,OK07205,"Tulsa, OK",352674,1161,12,329.2
1977,VA12800,"Virginia Beach, VA",235324,215,12,91.36
1977,DCMPD00,"Washington, DC",690000,2594,12,375.94
1977,KS08703,"Wichita, KS",261732,527,12,201.35
1977,,United States,,,,
1978,NM00101,"Albuquerque, NM",291834,1516,12,519.47
1978,TX22001,"Arlington, TX",121750,269,12,220.94
1978,GAAPD00,"Atlanta, GA",456000,3990,12,875
1978,CO00101,"Aurora, CO",131499,504,12,383.27
1978,TX22701,"Austin, TX",331557,549,12,165.58
1978,MD00301,"Baltimore County, MD",641120,3587,12,559.49
1978,MDBPD00,"Baltimore, MD",781730,5811,12,743.35
1978,MA01301,"Boston, MA",616225,3853,12,625.26
1978,NY01401,"Buffalo, NY",391695,1195,12,305.08
1978,NC06001,"Charlotte, NC",309101,1561,12,505.01
1978,ILCPD00,"Chicago, IL",3086699,10325,12,334.5
1978,OHCIP00,"Cincinnati, OH",405324,1659,12,409.3
1978,OHCLP00,"Cleveland, OH",614512,2623,12,426.84
1978,OHCOP00,"Columbus, OH",578338,1054,12,182.25
1978,TXDPD00,"Dallas, TX",871832,4997,12,573.16
1978,CODPD00,"Denver, CO",485547,1841,12,379.16
1978,MI82349,"Detroit, MI",1294359,7533,12,581.99
1978,TX07102,"El Paso, TX",399000,573,12,143.61
1978,VA02901,"Fairfax County, VA",522890,314,12,60.05
1978,TX22012,"Fort Worth, TX",375860,1101,12,292.93
1978,CA01005,"Fresno, CA",194774,739,12,379.41
1978,HI00200,"Honolulu, HI",725259,346,12,47.71
1978,TXHPD00,"Houston, TX",1486489,1918,12,129.03
1978,INIPD00,"Indianapolis, IN",513271,1353,12,263.6
1978,FL01602,"Jacksonville, FL",523199,2664,12,509.18
1978,MOKPD00,"Kansas City, MO",463931,2708,12,583.71
1978,NV00201,"Las Vegas, NV",288865,1092,12,378.03
1978,CA01941,"Long Beach, CA",344154,1244,12,361.47
1978,CA01900,"Los Angeles County, CA",972663,7062,12,726.05
1978,CA01942,"Los Angeles, CA",2787525,16574,12,594.58
1978,KY05680,"Louisville, KY",,,,
1978,TNMPD00,"Memphis, TN",683112,1738,12,254.42
1978,AZ00717,"Mesa, AZ",124937,328,12,262.53
1978,FL01300,"Miami-Dade County, FL",669511,5576,12,832.85
1978,FL01306,"Miami, FL",330060,3137,12,950.43
1978,WIMPD00,"Milwaukee, WI",623657,890,12,142.71
1978,MN02711,"Minneapolis, MN",374800,1077,12,287.35
1978,MD01604,"Montgomery County, MD",525247,488,12,92.91
1978,TN01901,"Nashville, TN",452440,1083,12,239.37
1978,NY02900,"Nassau County, NY",1100131,293,12,26.63
1978,LANPD00,"New Orleans, LA",559160,2849,12,509.51
1978,NY03030,"New York City, NY",7242886,43271,12,597.43
1978,NJNPD00,"Newark, NJ",325679,2737,12,840.4
1978,CA00109,"Oakland, CA",327756,2152,12,656.59
1978,OK05506,"Oklahoma City, OK",381184,2203,12,577.94
1978,NB02802,"Omaha, NE",364446,792,12,217.32
1978,FL04804,"Orlando, FL",118393,1090,12,920.66
1978,PAPEP00,"Philadelphia, PA",1885533,4224,12,224.02
1978,AZ00723,"Phoenix, AZ",696763,2819,12,404.59
1978,PAPPD00,"Pittsburgh, PA",479443,1475,12,307.65
1978,OR02602,"Portland, OR",362497,1838,12,507.04
1978,MD01721,"Prince George's County, MD",554087,1617,12,291.83
1978,NC09201,"Raleigh, NC",150124,412,12,274.44
1978,CA03404,"Sacramento, CA",261465,1337,12,511.35
1978,UT01803,"Salt Lake City, UT",185000,459,12,248.11
1978,TXSPD00,"San Antonio, TX",816780,1568,12,191.97
1978,CA03711,"San Diego, CA",797293,1606,12,201.43
1978,CA03801,"San Francisco, CA",658611,3299,12,500.9
1978,CA04313,"San Jose, CA",587621,1189,12,202.34
1978,WASPD00,"Seattle, WA",489961,2229,12,454.93
1978,MOSPD00,"St. Louis, MO",525123,4363,12,830.85
1978,NY05101,"Suffolk County, NY",1157014,1255,12,108.47
1978,FL02902,"Tampa, FL",263175,2136,12,811.63
1978,AZ01003,"Tucson, AZ",309200,889,12,287.52
1978,OK07205,"Tulsa, OK",356000,1313,12,368.82
1978,VA12800,"Virginia Beach, VA",240654,225,12,93.5
1978,DCMPD00,"Washington, DC",674000,2546,12,377.74
1978,KS08703,"Wichita, KS",260642,531,12,203.73
1978,,United States,,,,
1979,NM00101,"Albuquerque, NM",302120,1602,12,530.25
1979,TX22001,"Arlington, TX",130265,373,12,286.34
1979,GAAPD00,"Atlanta, GA",423103,4639,12,1096.42
1979,CO00101,"Aurora, CO",134224,595,12,443.29
1979,TX22701,"Austin, TX",337727,659,12,195.13
1979,MD00301,"Baltimore County, MD",639872,3782,12,591.06
1979,MDBPD00,"Baltimore, MD",790901,6232,12,787.96
1979,MA01301,"Boston, MA",599582,4236,12,706.49
1979,NY01401,"Buffalo, NY",383915,1582,12,412.07
1979,NC06001,"Charlotte, NC",300569,1617,12,537.98
1979,ILCPD00,"Chicago, IL",3060801,10832,12,353.89
1979,OHCIP00,"Cincinnati, OH",404661,1814,12,448.28
1979,OHCLP00,"Cleveland, OH",601381,3090,12,513.82
1979,OHCOP00,"Columbus, OH",534052,1305,12,244.36
1979,TXDPD00,"Dallas, TX",882225,5707,12,646.89
1979,CODPD00,"Denver, CO",486407,2169,12,445.92
1979,MI82349,"Detroit, MI",1258924,7787,12,618.54
1979,TX07102,"El Paso, TX",413244,1224,12,296.19
1979,VA02901,"Fairfax County, VA",519384,282,12,54.3
1979,TX22012,"Fort Worth, TX",384582,1572,12,408.76
1979,CA01005,"Fresno, CA",194849,776,12,398.26
1979,HI00200,"Honolulu, HI",734368,357,12,48.61
1979,TXHPD00,"Houston, TX",1619644,2770,12,171.03
1979,INIPD00,"Indianapolis, IN",513877,1594,12,310.19
1979,FL01602,"Jacksonville, FL",546419,2903,12,531.28
1979,MOKPD00,"Kansas City, MO",462914,2736,12,591.04
1979,NV00201,"Las Vegas, NV",324220,1046,12,322.62
1979,CA01941,"Long Beach, CA",349158,1373,12,393.23
1979,CA01900,"Los Angeles County, CA",911864,7141,12,783.12
1979,CA01942,"Los Angeles, CA",2863412,19624,12,685.34
1979,KY05680,"Louisville, KY",,,,
1979,TNMPD00,"Memphis, TN",682110,1678,12,246
1979,AZ00717,"Mesa, AZ",115498,547,12,473.6
1979,FL01300,"Miami-Dade County, FL",677573,5719,12,844.04
1979,FL01306,"Miami, FL",362840,3040,12,837.83
1979,WIMPD00,"Milwaukee, WI",645097,1101,12,170.67
1979,MN02711,"Minneapolis, MN",363899,1554,12,427.04
1979,MD01604,"Montgomery County, MD",522756,534,12,102.15
1979,TN01901,"Nashville, TN",444443,1180,12,265.5
1979,NY02900,"Nassau County, NY",1105718,425,12,38.44
1979,LANPD00,"New Orleans, LA",567656,2953,12,520.21
1979,NY03030,"New York City, NY",7109420,44203,12,621.75
1979,NJNPD00,"Newark, NJ",315818,3001,12,950.23
1979,CA00109,"Oakland, CA",344686,2513,12,729.07
1979,OK05506,"Oklahoma City, OK",381348,2230,12,584.77
1979,NB02802,"Omaha, NE",370326,830,12,224.13
1979,FL04804,"Orlando, FL",121515,1080,12,888.78
1979,PAPEP00,"Philadelphia, PA",1757368,4476,12,254.7
1979,AZ00723,"Phoenix, AZ",718216,2898,12,403.5
1979,PAPPD00,"Pittsburgh, PA",439407,1566,12,356.39
1979,OR02602,"Portland, OR",406525,2297,12,565.03
1979,MD01721,"Prince George's County, MD",559514,1868,12,333.86
1979,NC09201,"Raleigh, NC",140285,539,12,384.22
1979,CA03404,"Sacramento, CA",274300,1309,12,477.21
1979,UT01803,"Salt Lake City, UT",180189,451,12,250.29
1979,TXSPD00,"San Antonio, TX",829138,1861,12,224.45
1979,CA03711,"San Diego, CA",829322,2125,12,256.23
1979,CA03801,"San Francisco, CA",659176,3571,12,541.74
1979,CA04313,"San Jose, CA",604993,1427,12,235.87
1979,WASPD00,"Seattle, WA",521590,2328,12,446.33
1979,MOSPD00,"St. Louis, MO",505451,4568,12,903.75
1979,NY05101,"Suffolk County, NY",1165851,1708,12,146.5
1979,FL02902,"Tampa, FL",277203,2549,12,919.54
1979,AZ01003,"Tucson, AZ",315978,1134,12,358.89
1979,OK07205,"Tulsa, OK",343258,1435,12,418.05
1979,VA12800,"Virginia Beach, VA",244308,258,12,105.6
1979,DCMPD00,"Washington, DC",656000,2964,12,451.83
1979,KS08703,"Wichita, KS",273559,609,12,222.62
1979,,United States,,,,
1980,NM00101,"Albuquerque, NM",328837,1630,12,495.69
1980,TX22001,"Arlington, TX",161192,531,12,329.42
1980,GAAPD00,"Atlanta, GA",422474,5470,12,1294.75
1980,CO00101,"Aurora, CO",158249,822,12,519.43
1980,TX22701,"Austin, TX",343425,765,12,222.76
1980,MD00301,"Baltimore County, MD",651337,4356,12,668.78
1980,MDBPD00,"Baltimore, MD",784554,5775,12,736.09
1980,MA01301,"Boston, MA",562582,4376,12,777.84
1980,NY01401,"Buffalo, NY",357384,1561,12,436.79
1980,NC06001,"Charlotte, NC",310794,1868,12,601.04
1980,ILCPD00,"Chicago, IL",2986419,10205,12,341.71
1980,OHCIP00,"Cincinnati, OH",383114,1843,12,481.06
1980,OHCLP00,"Cleveland, OH",572657,3696,12,645.41
1980,OHCOP00,"Columbus, OH",562416,1359,12,241.64
1980,TXDPD00,"Dallas, TX",900104,6258,12,695.25
1980,CODPD00,"Denver, CO",489318,2351,12,480.46
1980,MI82349,"Detroit, MI",1197325,7999,12,668.07
1980,TX07102,"El Paso, TX",425122,1711,12,402.47
1980,VA02901,"Fairfax County, VA",568736,376,12,66.11
1980,TX22012,"Fort Worth, TX",382679,1963,12,512.96
1980,CA01005,"Fresno, CA",215396,895,12,415.51
1980,HI00200,"Honolulu, HI",762020,398,12,52.23
1980,TXHPD00,"Houston, TX",1557575,2530,10,162.43
1980,INIPD00,"Indianapolis, IN",698753,1743,12,249.44
1980,FL01602,"Jacksonville, FL",542795,2733,12,503.51
1980,MOKPD00,"Kansas City, MO",446865,3474,12,777.42
1980,NV00201,"Las Vegas, NV",385396,1402,12,363.78
1980,CA01941,"Long Beach, CA",356906,1483,12,415.52
1980,CA01900,"Los Angeles County, CA",1020111,7732,12,757.96
1980,CA01942,"Los Angeles, CA",2952511,21987,12,744.69
1980,KY05680,"Louisville, KY",,,,
1980,TNMPD00,"Memphis, TN",644957,2112,12,327.46
1980,AZ00717,"Mesa, AZ",149662,547,12,365.49
1980,FL01300,"Miami-Dade County, FL",774491,5986,12,772.89
1980,FL01306,"Miami, FL",335718,4039,12,1203.09
1980,WIMPD00,"Milwaukee, WI",633845,1227,12,193.58
1980,MN02711,"Minneapolis, MN",370163,1241,12,335.26
1980,MD01604,"Montgomery County, MD",519381,475,12,91.46
1980,TN01901,"Nashville, TN",452025,1225,12,271
1980,NY02900,"Nassau County, NY",1049118,488,12,46.52
1980,LANPD00,"New Orleans, LA",557761,2719,12,487.48
1980,NY03030,"New York City, NY",7035348,43476,12,617.97
1980,NJNPD00,"Newark, NJ",330104,3716,12,1125.71
1980,CA00109,"Oakland, CA",338721,2722,12,803.61
1980,OK05506,"Oklahoma City, OK",401577,2074,12,516.46
1980,NB02802,"Omaha, NE",312919,679,12,216.99
1980,FL04804,"Orlando, FL",127811,1401,12,1096.15
1980,PAPEP00,"Philadelphia, PA",1681175,5043,12,299.97
1980,AZ00723,"Phoenix, AZ",772884,3395,12,439.26
1980,PAPPD00,"Pittsburgh, PA",424205,1519,12,358.08
1980,OR02602,"Portland, OR",364419,2298,12,630.59
1980,MD01721,"Prince George's County, MD",556147,1870,12,336.24
1980,NC09201,"Raleigh, NC",148429,448,12,301.83
1980,CA03404,"Sacramento, CA",274547,1355,12,493.54
1980,UT01803,"Salt Lake City, UT",162985,448,12,274.87
1980,TXSPD00,"San Antonio, TX",788049,1997,12,253.41
1980,CA03711,"San Diego, CA",874826,2738,12,312.98
1980,CA03801,"San Francisco, CA",674150,4314,12,639.92
1980,CA04313,"San Jose, CA",628106,1533,12,244.07
1980,WASPD00,"Seattle, WA",491897,2373,12,482.42
1980,MOSPD00,"St. Louis, MO",450790,4428,12,982.28
1980,NY05101,"Suffolk County, NY",1158917,1407,12,121.41
1980,FL02902,"Tampa, FL",268709,2820,12,1049.46
1980,AZ01003,"Tucson, AZ",331506,1717,12,517.94
1980,OK07205,"Tulsa, OK",355766,1630,12,458.17
1980,VA12800,"Virginia Beach, VA",260680,204,12,78.26
1980,DCMPD00,"Washington, DC",635233,3236,12,509.42
1980,KS08703,"Wichita, KS",279352,763,12,273.13
1980,,United States,,,,
1981,NM00101,"Albuquerque, NM",336840,1620,12,480.94
1981,TX22001,"Arlington, TX",167848,373,12,222.22
1981,GAAPD00,"Atlanta, GA",435626,5246,12,1204.24
1981,CO00101,"Aurora, CO",162900,992,12,608.96
1981,TX22701,"Austin, TX",357607,574,12,160.51
1981,MD00301,"Baltimore County, MD",662025,4510,12,681.24
1981,MDBPD00,"Baltimore, MD",797429,6229,12,781.14
1981,MA01301,"Boston, MA",566679,4192,12,739.75
1981,NY01401,"Buffalo, NY",359167,1353,10,376.7
1981,NC06001,"Charlotte, NC",316503,2143,12,677.09
1981,ILCPD00,"Chicago, IL",3012703,7359,12,244.27
1981,OHCIP00,"Cincinnati, OH",383441,1804,12,470.48
1981,OHCLP00,"Cleveland, OH",573145,3754,12,654.98
1981,OHCOP00,"Columbus, OH",562896,1420,12,252.27
1981,TXDPD00,"Dallas, TX",937273,5928,12,632.47
1981,CODPD00,"Denver, CO",503695,2111,12,419.1
1981,MI82349,"Detroit, MI",1193805,6648,12,556.87
1981,TX07102,"El Paso, TX",442677,2399,12,541.93
1981,VA02901,"Fairfax County, VA",579696,288,11,49.68
1981,TX22012,"Fort Worth, TX",398482,2086,12,523.49
1981,CA01005,"Fresno, CA",221129,868,12,392.53
1981,HI00200,"Honolulu, HI",773331,340,12,43.97
1981,TXHPD00,"Houston, TX",1621897,1917,9,118.19
1981,INIPD00,"Indianapolis, IN",461820,1880,12,407.09
1981,FL01602,"Jacksonville, FL",575157,2795,12,485.95
