report_year,agency_code,agency_jurisdiction,population,robberies,months_reported,robberies_percapita
1977,TN01901,"Nashville, TN",456589,1688,12,369.7
1977,NY02900,"Nassau County, NY",1044946,734,12,70.24
1977,LANPD00,"New Orleans, LA",587776,3279,12,557.87
1977,NY03030,"New York City, NY",7481613,74404,12,994.49
1977,NJNPD00,"Newark, NJ",351412,3203,12,911.47
1977,CA00109,"Oakland, CA",339264,3037,12,895.17
1977,OK05506,"Oklahoma City, OK",373570,775,12,207.46
1977,NB02802,"Omaha, NE",367281,809,12,220.27
1977,FL04804,"Orlando, FL",118374,274,12,231.47
1977,PAPEP00,"Philadelphia, PA",1897706,6999,12,368.81
1977,AZ00723,"Phoenix, AZ",682200,1594,12,233.66
1977,PAPPD00,"Pittsburgh, PA",482413,2539,12,526.31
1977,OR02602,"Portland, OR",385230,1703,12,442.07
1977,MD01721,"Prince George's County, MD",550201,1933,12,351.33
1977,NC09201,"Raleigh, NC",152840,120,12,78.51
1977,CA03404,"Sacramento, CA",265220,1276,12,481.11
1977,UT01803,"Salt Lake City, UT",180122,479,12,265.93
1977,TXSPD00,"San Antonio, TX",764217,1460,12,191.05
1977,CA03711,"San Diego, CA",788621,2481,12,314.6
1977,CA03801,"San Francisco, CA",676625,5423,12,801.48
1977,CA04313,"San Jose, CA",568303,1031,12,181.42
1977,WASPD00,"Seattle, WA",500000,1764,12,352.8
1977,MOSPD00,"St. Louis, MO",512059,4943,12,965.32
1977,NY05101,"Suffolk County, NY",1140882,1018,12,89.23
1977,FL02902,"Tampa, FL",264848,1062,12,400.98
1977,AZ01003,"Tucson, AZ",306500,550,12,179.45
1977,OK07205,"Tulsa, OK",352674,489,12,138.65
1977,VA12800,"Virginia Beach, VA",235324,152,12,64.59
1977,DCMPD00,"Washington, DC",690000,6655,12,964.49
1977,KS08703,"Wichita, KS",261732,715,12,273.18
1977,,United States,,,,
1978,NM00101,"Albuquerque, NM",291834,694,12,237.81
1978,TX22001,"Arlington, TX",121750,132,12,108.42
1978,GAAPD00,"Atlanta, GA",456000,4119,12,903.29
1978,CO00101,"Aurora, CO",131499,232,12,176.43
1978,TX22701,"Austin, TX",331557,635,12,191.52
1978,MD00301,"Baltimore County, MD",641120,818,12,127.59
1978,MDBPD00,"Baltimore, MD",781730,8097,12,1035.78
1978,MA01301,"Boston, MA",616225,5635,12,914.44
1978,NY01401,"Buffalo, NY",391695,1721,12,439.37
1978,NC06001,"Charlotte, NC",309101,709,12,229.37
1978,ILCPD00,"Chicago, IL",3086699,15233,12,493.5
1978,OHCIP00,"Cincinnati, OH",405324,1300,12,320.73
1978,OHCLP00,"Cleveland, OH",614512,6354,12,1033.99
1978,OHCOP00,"Columbus, OH",578338,1923,12,332.5
1978,TXDPD00,"Dallas, TX",871832,3835,12,439.88
1978,CODPD00,"Denver, CO",485547,2362,12,486.46
1978,MI82349,"Detroit, MI",1294359,12283,12,948.96
1978,TX07102,"El Paso, TX",399000,775,12,194.24
1978,VA02901,"Fairfax County, VA",522890,492,12,94.09
1978,TX22012,"Fort Worth, TX",375860,1218,12,324.06
1978,CA01005,"Fresno, CA",194774,1102,12,565.78
1978,HI00200,"Honolulu, HI",725259,1473,12,203.1
1978,TXHPD00,"Houston, TX",1486489,7352,12,494.59
1978,INIPD00,"Indianapolis, IN",513271,1963,12,382.45
1978,FL01602,"Jacksonville, FL",523199,1347,12,257.45
1978,MOKPD00,"Kansas City, MO",463931,1864,12,401.78
1978,NV00201,"Las Vegas, NV",288865,1548,12,535.89
1978,CA01941,"Long Beach, CA",344154,2130,12,618.91
1978,CA01900,"Los Angeles County, CA",972663,2929,12,301.13
1978,CA01942,"Los Angeles, CA",2787525,17105,12,613.63
1978,KY05680,"Louisville, KY",,,,
1978,TNMPD00,"Memphis, TN",683112,2897,12,424.09
1978,AZ00717,"Mesa, AZ",124937,121,12,96.85
1978,FL01300,"Miami-Dade County, FL",669511,2431,12,363.1
1978,FL01306,"Miami, FL",330060,2832,12,858.03
1978,WIMPD00,"Milwaukee, WI",623657,1212,12,194.34
1978,MN02711,"Minneapolis, MN",374800,1688,12,450.37
1978,MD01604,"Montgomery County, MD",525247,530,12,100.9
1978,TN01901,"Nashville, TN",452440,1772,12,391.65
1978,NY02900,"Nassau County, NY",1100131,676,12,61.45
1978,LANPD00,"New Orleans, LA",559160,4164,12,744.69
1978,NY03030,"New York City, NY",7242886,74029,12,1022.09
1978,NJNPD00,"Newark, NJ",325679,3682,12,1130.56
1978,CA00109,"Oakland, CA",327756,2774,12,846.36
1978,OK05506,"Oklahoma City, OK",381184,1023,12,268.37
1978,NB02802,"Omaha, NE",364446,878,12,240.91
1978,FL04804,"Orlando, FL",118393,410,12,346.3
1978,PAPEP00,"Philadelphia, PA",1885533,7069,12,374.91
1978,AZ00723,"Phoenix, AZ",696763,2031,12,291.49
1978,PAPPD00,"Pittsburgh, PA",479443,3046,12,635.32
1978,OR02602,"Portland, OR",362497,1774,12,489.38
1978,MD01721,"Prince George's County, MD",554087,1998,12,360.59
1978,NC09201,"Raleigh, NC",150124,173,12,115.24
1978,CA03404,"Sacramento, CA",261465,1582,12,605.05
1978,UT01803,"Salt Lake City, UT",185000,451,12,243.78
1978,TXSPD00,"San Antonio, TX",816780,1438,12,176.06
1978,CA03711,"San Diego, CA",797293,2530,12,317.32
1978,CA03801,"San Francisco, CA",658611,6509,12,988.29
1978,CA04313,"San Jose, CA",587621,1155,12,196.56
1978,WASPD00,"Seattle, WA",489961,2257,12,460.65
1978,MOSPD00,"St. Louis, MO",525123,5025,12,956.92
1978,NY05101,"Suffolk County, NY",1157014,1105,12,95.5
1978,FL02902,"Tampa, FL",263175,1080,12,410.37
1978,AZ01003,"Tucson, AZ",309200,584,12,188.87
1978,OK07205,"Tulsa, OK",356000,609,12,171.07
1978,VA12800,"Virginia Beach, VA",240654,170,12,70.64
1978,DCMPD00,"Washington, DC",674000,6333,12,939.61
1978,KS08703,"Wichita, KS",260642,542,12,207.95
1978,,United States,,,,
1979,NM00101,"Albuquerque, NM",302120,815,12,269.76
1979,TX22001,"Arlington, TX",130265,190,12,145.86
1979,GAAPD00,"Atlanta, GA",423103,5189,12,1226.42
1979,CO00101,"Aurora, CO",134224,351,12,261.5
1979,TX22701,"Austin, TX",337727,577,12,170.85
1979,MD00301,"Baltimore County, MD",639872,1056,12,165.03
1979,MDBPD00,"Baltimore, MD",790901,8482,12,1072.45
1979,MA01301,"Boston, MA",599582,6600,12,1100.77
1979,NY01401,"Buffalo, NY",383915,1958,12,510.01
1979,NC06001,"Charlotte, NC",300569,703,12,233.89
1979,ILCPD00,"Chicago, IL",3060801,14464,12,472.56
1979,OHCIP00,"Cincinnati, OH",404661,1662,12,410.71
1979,OHCLP00,"Cleveland, OH",601381,5760,12,957.8
1979,OHCOP00,"Columbus, OH",534052,2445,12,457.82
1979,TXDPD00,"Dallas, TX",882225,4456,12,505.09
